n,sign,q,value,factors,prime,rough_squarefree_P2
1024,-1,29,1048547,23*45589,0,1
1024,-1,31,1048545,3*3*3*3*3*5*863,0,0
1024,-1,37,1048539,3*83*4211,0,0
1024,-1,41,1048535,5*209707,0,0
1024,-1,43,1048533,3*181*1931,0,0
1026,1,3,1052679,3*211*1663,0,0
1026,1,5,1052681,7*150383,0,1
1026,1,7,1052683,43*24481,0,1
1026,1,11,1052687,23*37*1237,0,0
1026,1,13,1052689,11*83*1153,0,0
1026,1,17,1052693,1052693,1,1
1026,1,19,1052695,5*7*19*1583,0,0
1026,1,23,1052699,179*5881,0,1
1026,1,29,1052705,5*173*1217,0,0
1026,1,31,1052707,1052707,1,1
1026,1,37,1052713,229*4597,0,1
1026,1,41,1052717,71*14827,0,1
1026,1,43,1052719,1052719,1,1
1026,-1,3,1052673,3*350891,0,0
1026,-1,5,1052671,29*36299,0,1
1026,-1,7,1052669,647*1627,0,1
1026,-1,11,1052665,5*210533,0,0
1026,-1,13,1052663,1052663,1,1
1026,-1,17,1052659,47*22397,0,1
1026,-1,19,1052657,17*19*3259,0,0
1026,-1,23,1052653,7*150379,0,1
1026,-1,29,1052647,139*7573,0,1
1026,-1,31,1052645,5*11*19139,0,0
1026,-1,37,1052639,7*150377,0,1
1026,-1,41,1052635,5*210527,0,0
1026,-1,43,1052633,53*19861,0,1
1028,1,3,1056787,607*1741,0,1
1028,1,5,1056789,3*3*29*4049,0,0
1028,1,7,1056791,67*15773,0,1
1028,1,11,1056795,3*5*47*1499,0,0
1028,1,13,1056797,7*223*677,0,0
1028,1,17,1056801,3*352267,0,0
1028,1,19,1056803,11*191*503,0,0
1028,1,23,1056807,3*3*3*3*3*4349,0,0
1028,1,29,1056813,3*352271,0,0
1028,1,31,1056815,5*97*2179,0,0
1028,1,37,1056821,31*73*467,0,0
1028,1,41,1056825,3*3*5*5*7*11*61,0,0
1028,1,43,1056827,23*45949,0,1
1028,-1,3,1056781,11*23*4177,0,0
1028,-1,5,1056779,1056779,1,1
1028,-1,7,1056777,3*131*2689,0,0
1028,-1,11,1056773,1056773,1,1
1028,-1,13,1056771,3*3*17*6907,0,0
1028,-1,17,1056767,53*127*157,0,0
1028,-1,19,1056765,3*5*70451,0,0
1028,-1,23,1056761,19*55619,0,1
1028,-1,29,1056755,5*7*109*277,0,0
1028,-1,31,1056753,3*3*3*39139,0,0
1028,-1,37,1056747,3*352249,0,0
1028,-1,41,1056743,941*1123,0,1
1028,-1,43,1056741,3*7*50321,0,0
1030,1,3,1060903,19*55837,0,1
1030,1,5,1060905,3*5*107*661,0,0
1030,1,7,1060907,29*36583,0,1
1030,1,11,1060911,3*3*3*39293,0,0
